Name,NCBI Genome,RefSeq FTP,GenBank FTP,Size (Mb)
Helicobacter pylori oki128,163580,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/125/GCF_000600125.1_ASM60012v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/125/GCA_000600125.1_ASM60012v1,1.55383
Helicobacter pylori oki154,163581,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/145/GCF_000600145.1_ASM60014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/145/GCA_000600145.1_ASM60014v1,1.5997
Helicobacter pylori oki422,163582,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/165/GCF_000600165.1_ASM60016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/165/GCA_000600165.1_ASM60016v1,1.63485
Helicobacter pylori oki673,163583,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/185/GCF_000600185.1_ASM60018v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/185/GCA_000600185.1_ASM60018v1,1.59506
Helicobacter pylori oki828,163584,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/205/GCF_000600205.1_ASM60020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/205/GCA_000600205.1_ASM60020v1,1.60034
Helicobacter pylori oki898,163585,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/225/GCF_000600225.1_ASM60022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/225/GCA_000600225.1_ASM60022v1,1.63488
Helicobacter pylori P12,299777,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/465/GCF_000021465.1_ASM2146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/465/GCA_000021465.1_ASM2146v1,1.68404
Helicobacter pylori PeCan18,163562,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/425/GCF_000277425.1_ASM27742v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/425/GCA_000277425.1_ASM27742v1,1.66068
Helicobacter pylori PeCan4,163537,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/875/GCF_000148875.1_ASM14887v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/875/GCA_000148875.1_ASM14887v1,1.63827
Helicobacter pylori PMSS1,305990,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/991/095/GCF_001991095.1_ASM199109v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/991/095/GCA_001991095.1_ASM199109v1,1.62454
Helicobacter pylori Puno120,163549,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/535/GCF_000224535.1_ASM22453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/535/GCA_000224535.1_ASM22453v1,1.63776
Helicobacter pylori Puno135,163550,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/555/GCF_000224555.1_ASM22455v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/555/GCA_000224555.1_ASM22455v1,1.64614
Helicobacter pylori Rif1,163564,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/815/GCF_000307815.1_ASM30781v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/815/GCA_000307815.1_ASM30781v1,1.66788
Helicobacter pylori Rif2,163565,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/835/GCF_000307835.1_ASM30783v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/835/GCA_000307835.1_ASM30783v1,1.66789
Helicobacter pylori Sat464,163539,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/915/GCF_000148915.1_ASM14891v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/915/GCA_000148915.1_ASM14891v1,1.56757
Helicobacter pylori Shi112,163561,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/405/GCF_000277405.1_ASM27740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/405/GCA_000277405.1_ASM27740v1,1.66346
Helicobacter pylori Shi169,163560,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/385/GCF_000277385.1_ASM27738v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/385/GCA_000277385.1_ASM27738v1,1.61691
Helicobacter pylori Shi417,163559,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/365/GCF_000277365.1_ASM27736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/365/GCA_000277365.1_ASM27736v1,1.66572
Helicobacter pylori Shi470,299775,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/245/GCF_000020245.1_ASM2024v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/245/GCA_000020245.1_ASM2024v1,1.60855
Helicobacter pylori SJM180,163536,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/855/GCF_000148855.1_ASM14885v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/855/GCA_000148855.1_ASM14885v1,1.65805
Helicobacter pylori SNT49,163551,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/575/GCF_000224575.1_ASM22457v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/575/GCA_000224575.1_ASM22457v1,1.61083
Helicobacter pylori SouthAfrica20,163577,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/775/GCF_000590775.1_ASM59077v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/775/GCA_000590775.1_ASM59077v1,1.6229
Helicobacter pylori SouthAfrica7,163544,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/245/GCF_000185245.1_ASM18524v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/245/GCA_000185245.1_ASM18524v1,1.67983
Helicobacter pylori SS1,307918,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/525/GCF_002005525.1_ASM200552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/525/GCA_002005525.1_ASM200552v1,1.62494
Helicobacter pylori TN2wt,676610,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/326/525/GCF_008326525.1_ASM832652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/326/525/GCA_008326525.1_ASM832652v1,1.60495
Helicobacter pylori UM032,209379,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/455/GCF_000392455.3_ASM39245v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/455/GCA_000392455.3_ASM39245v3,1.59354
Helicobacter pylori UM037,210005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/515/GCF_000392515.3_ASM39251v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/515/GCA_000392515.3_ASM39251v3,1.69279
Helicobacter pylori UM066,210006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/535/GCF_000392535.3_ASM39253v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/535/GCA_000392535.3_ASM39253v3,1.65805
Helicobacter pylori UM298,209381,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/295/GCF_000439295.2_ASM43929v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/295/GCA_000439295.2_ASM43929v2,1.59454
Helicobacter pylori UM299,209380,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/475/GCF_000392475.3_ASM39247v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/475/GCA_000392475.3_ASM39247v3,1.59457
Helicobacter pylori v225d,163534,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/185/GCF_000093185.1_ASM9318v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/185/GCA_000093185.1_ASM9318v1,1.5956
Helicobacter pylori XZ274,163554,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/655/GCF_000262655.1_ASM26265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/655/GCA_000262655.1_ASM26265v1,1.65654
